x y z
0.119320 -0.070482 0.138338
0.119255 -0.070477 0.138312
0.119183 -0.070471 0.138289
0.119118 -0.070456 0.138272
0.119094 -0.070449 0.138267
0.119061 -0.070413 0.138259
0.119025 -0.070394 0.138253
0.118954 -0.070400 0.138242
0.118913 -0.070386 0.138235
0.118845 -0.070364 0.138223
0.118787 -0.070343 0.138213
0.118720 -0.070312 0.138200
0.118662 -0.070285 0.138191
0.118592 -0.070253 0.138181
0.118531 -0.070222 0.138173
0.118450 -0.070181 0.138163
0.118394 -0.070151 0.138158
0.118318 -0.070119 0.138154
0.118251 -0.070097 0.138145
0.118182 -0.070058 0.138143
0.118111 -0.070027 0.138135
0.118061 -0.070000 0.138134
0.117993 -0.069964 0.138128
0.117902 -0.069914 0.138125
0.117792 -0.069864 0.138117
0.117723 -0.069838 0.138113
0.117691 -0.069829 0.138110
0.117654 -0.069817 0.138106
0.117561 -0.069782 0.138102
0.117411 -0.069715 0.138113
0.117309 -0.069677 0.138115
0.117251 -0.069654 0.138116
0.117137 -0.069607 0.138117
0.117017 -0.069561 0.138114
0.116910 -0.069522 0.138108
0.116798 -0.069485 0.138102
0.116680 -0.069450 0.138098
0.116579 -0.069413 0.138097
0.116484 -0.069373 0.138096
0.116379 -0.069327 0.138092
0.116278 -0.069280 0.138092
0.116170 -0.069235 0.138093
0.116104 -0.069206 0.138097
0.116045 -0.069173 0.138101
0.115917 -0.069120 0.138105
0.115751 -0.069063 0.138111
0.115634 -0.069014 0.138115
0.115531 -0.068968 0.138117
0.115422 -0.068925 0.138118
0.115302 -0.068889 0.138117
0.115217 -0.068861 0.138115
0.115101 -0.068825 0.138112
0.115021 -0.068791 0.138110
0.114914 -0.068739 0.138111
0.114816 -0.068681 0.138113
0.114692 -0.068598 0.138117
0.114578 -0.068527 0.138120
0.114503 -0.068479 0.138122
0.114291 -0.068361 0.138134
0.114117 -0.068257 0.138134
0.113942 -0.068150 0.138130
0.113774 -0.068044 0.138127
0.113678 -0.067982 0.138126
0.113551 -0.067915 0.138125
0.113404 -0.067832 0.138127
0.113228 -0.067729 0.138131
0.113131 -0.067664 0.138134
0.113040 -0.067596 0.138136
0.112903 -0.067492 0.138139
0.112765 -0.067385 0.138137
0.112646 -0.067304 0.138137
0.112517 -0.067234 0.138138
0.112390 -0.067174 0.138140
0.112285 -0.067130 0.138143
0.112121 -0.067063 0.138145
