x y z
0.613910 1.061098 1.206996
0.522346 0.954623 1.096474
0.485063 0.875309 0.992061
0.466557 0.811612 0.947976
0.504182 0.905043 1.019332
0.521512 0.980713 1.104044
0.709442 1.284426 1.465959
0.843402 1.469062 1.654827
0.912767 1.544019 1.742985
0.842930 1.481740 1.727713
0.732383 1.360251 1.627579
0.700611 1.313520 1.582514
0.714604 1.308679 1.535230
0.634603 1.095209 1.231779
0.613052 1.035293 1.190867
0.433465 0.946217 1.104785
0.141197 0.861604 1.127505
-0.000806 0.826892 1.181624
0.001297 0.831849 1.186831
0.029929 0.756856 1.183071
0.115628 0.713209 1.109763
0.164711 0.722873 1.064300
0.355888 0.746489 0.996460
0.380686 0.803856 0.967914
0.436644 0.813482 0.933417
0.575959 0.786614 0.943462
0.652713 0.833732 1.009442
0.635595 0.894849 1.059008
0.547121 0.904296 1.096325
0.465795 0.892931 1.121156
0.379580 0.821535 1.147093
0.255229 0.784760 1.158214
0.007626 0.762680 1.181749
-0.177055 0.741934 1.172975
-0.308536 0.720030 1.172454
-0.295578 0.668934 1.148726
-0.104169 0.596931 1.139861
0.149909 0.629896 1.186540
0.366352 0.664034 1.211936
0.507679 0.687583 1.228573
0.574036 0.722517 1.223971
0.668882 0.864500 1.274991
0.702928 0.911715 1.323968
0.561341 0.965717 1.367649
0.361967 0.988533 1.384935
0.328259 0.925783 1.402998
0.389198 0.868665 1.420107
0.549722 0.852425 1.418664
0.587145 0.855164 1.416218
0.368921 0.950928 1.381162
0.150141 1.041693 1.345421
0.035521 1.043099 1.244550
-0.024116 0.986877 1.140610
0.024611 0.898968 1.078466
0.188184 0.791288 1.070739
0.387518 0.724704 1.146674
0.607232 0.727202 1.182578
0.718314 0.848917 1.262516
0.724365 1.035398 1.308803
0.735454 1.194327 1.363993
0.687960 1.301909 1.401163
0.555238 1.320388 1.404504
0.472890 1.255788 1.438877
0.462187 1.159893 1.433805
0.472614 1.066427 1.409992
0.549135 0.888704 1.332887
0.639648 0.770416 1.256822
0.577642 0.750145 1.157089
0.486503 0.820323 1.099078
0.381995 0.873695 1.077151
0.293701 0.822962 1.056573
0.222610 0.771895 1.045221
0.215251 0.751875 1.106736
0.265000 0.672178 1.248135
0.368580 0.650432 1.379216
0.514824 0.708632 1.513725
0.571860 0.764035 1.567870
0.479135 0.887245 1.575848
0.373388 0.943942 1.532771
0.275034 1.017555 1.508816
0.162186 1.011343 1.428665
0.123748 0.994497 1.359026
0.248504 0.892712 1.308857
0.422230 0.776625 1.265208
0.530935 0.778311 1.244882
0.566347 0.808430 1.217954
0.567443 0.819767 1.183418
0.556818 0.880387 1.161066
0.523519 0.951606 1.166786
0.463602 1.032543 1.222879
0.402529 1.093414 1.304843
0.359692 1.125424 1.340372
0.378356 1.092065 1.392106
0.414811 1.017755 1.437437
0.410927 0.927568 1.403751
0.370540 0.844691 1.352202
0.281782 0.825439 1.320287
0.086223 0.816081 1.327040
-0.075465 0.868027 1.326180
-0.159338 0.920221 1.358379
-0.123502 0.934192 1.358090
0.100094 0.863318 1.358190
0.327092 0.816134 1.328305
0.537952 0.806405 1.280095
0.668204 0.846180 1.274268
0.670624 0.927395 1.330293
0.649889 1.151025 1.369197
0.499033 1.329447 1.369637
0.360336 1.420645 1.370045
0.476150 1.401942 1.422412
0.606543 1.391562 1.495622
0.757686 1.314936 1.533620
0.897510 1.171593 1.534232
0.889512 1.085797 1.499177
0.817146 1.061740 1.436481
0.833002 1.025140 1.391036
0.857166 1.021271 1.370811
0.788759 1.058955 1.340296
0.573835 1.009373 1.231438
0.471610 0.953633 1.194349
0.305849 0.882139 1.142205
