x y z
0.041525 -0.957821 1.649920
0.054602 -0.911152 1.590873
0.061025 -0.843766 1.420186
0.005778 -0.914713 1.581722
-0.000079 -0.893640 1.606593
0.029989 -0.816544 1.680458
0.021936 -0.610529 1.536104
0.001275 -0.610424 1.591179
0.013415 -0.583155 1.563918
-0.018265 -0.527061 1.576272
-0.027608 -0.582643 1.656832
-0.054151 -0.641933 1.675515
-0.059451 -0.765732 1.757087
-0.055928 -0.873222 1.679071
-0.067059 -0.876945 1.677694
-0.044843 -0.854844 1.628522
-0.039824 -0.787561 1.412955
-0.007234 -0.852728 1.194966
0.034531 -0.889093 1.067225
0.049973 -0.915929 1.054697
0.060492 -0.944289 1.009443
0.091286 -0.927373 1.048796
0.095375 -0.974989 1.118098
0.119738 -0.922012 1.181519
0.179721 -0.887860 1.178219
0.279582 -0.782969 1.172931
0.346720 -0.716205 1.145372
0.358213 -0.677106 1.125850
0.405076 -0.592436 1.117052
0.377551 -0.535286 1.051345
0.248678 -0.547439 1.001364
0.132883 -0.516072 0.969881
0.110678 -0.524363 0.976284
0.288645 -0.499205 0.996518
0.583043 -0.547024 1.075382
0.747794 -0.643071 1.169577
0.851103 -0.786106 1.205045
0.917232 -0.833406 1.297545
0.945398 -0.905977 1.358201
0.922042 -0.944530 1.375588
0.775461 -0.822594 1.318346
0.625473 -0.704842 1.253191
0.556767 -0.614463 1.172725
0.498700 -0.386431 1.089473
0.427826 -0.264573 1.052753
0.347802 -0.202459 0.996192
0.320570 -0.140796 0.939236
0.281674 -0.213177 0.889970
0.115031 -0.351036 0.893330
-0.061464 -0.498440 0.937690
-0.119365 -0.701763 0.972088
0.199875 -0.751887 1.066547
0.497261 -0.647337 1.098156
0.576989 -0.602886 1.108088
0.651490 -0.434313 1.121038
0.653562 -0.403446 1.118265
0.513189 -0.289037 0.949357
0.425154 -0.206781 0.789116
0.454019 -0.042122 0.605252
0.512340 -0.070531 0.674614
0.558790 -0.078576 0.715526
0.680018 -0.120815 0.836841
0.835242 -0.124786 0.965803
0.945019 -0.137232 1.045715
0.952746 -0.162022 1.073427
0.999189 -0.146053 1.117616
