x y z
-0.093490 -0.265216 0.773422
0.191122 -0.500925 0.751561
0.568935 -0.759899 0.906421
0.472904 -0.725215 0.795754
0.190640 -0.444894 0.715946
0.141553 -0.211345 0.899002
0.166832 -0.259705 1.185056
0.164249 -0.437038 1.366413
0.155742 -0.483141 1.352755
0.155742 -0.483141 1.352755
-0.190917 -0.797591 1.313420
-0.257770 -0.864474 1.276862
-0.372951 -0.964085 1.282795
-0.557306 -1.020331 1.143094
-0.685988 -0.881388 1.047476
-0.818573 -0.785885 0.850219
-0.939410 -1.073629 0.731851
-1.024268 -1.427136 0.755025
-1.153035 -1.692135 0.761911
-1.323330 -1.749548 0.761198
-1.296608 -1.749403 0.837792
-1.192361 -1.605086 1.031709
-0.905766 -1.598637 1.187601
-0.591369 -1.677519 1.283462
-0.343964 -1.667762 1.355015
-0.168474 -1.709221 1.278664
-0.226038 -1.753598 1.013716
-0.427140 -1.710548 0.608222
-0.477353 -1.659972 0.418779
-0.420358 -1.475473 0.437452
-0.205053 -1.246557 0.707735
0.055446 -1.143773 0.977487
0.194174 -1.096914 1.156611
0.312040 -1.129029 1.264676
0.347102 -1.213998 1.269479
0.351167 -1.193537 1.284657
0.432467 -1.183025 1.268466
0.494019 -1.457776 1.415087
0.307232 -1.483863 1.522951
-0.064273 -1.225430 1.372786
-0.235538 -0.923756 1.183403
-0.334215 -0.691690 1.039631
-0.265483 -0.700393 0.866721
-0.145279 -0.913688 0.564542
-0.105774 -0.887420 0.284816
-0.076638 -0.844557 -0.053168
-0.092380 -0.819493 -0.084838
-0.092631 -0.823584 -0.117237
0.148226 -0.398897 0.100095
0.584231 -0.644796 0.598762
0.933878 -1.084283 1.046037
1.190218 -1.616435 1.500931
1.116633 -1.912971 1.751965
0.742946 -1.793740 1.923294
0.147612 -1.168202 1.846291
-0.462684 -0.325311 1.603632
-0.914486 0.137974 1.347969
-1.356023 0.182051 1.059438
-1.656119 -0.181623 0.747609
-1.612841 -0.764495 0.674308
-1.373077 -1.023149 0.747426
-1.001536 -1.206775 0.810176
-0.568967 -1.032091 1.028681
-0.590852 -0.923679 1.002377
-0.585865 -1.107452 0.814077
-0.763390 -1.546886 0.536546
-0.978829 -1.695334 0.397936
-1.181951 -1.423623 0.410220
-1.211498 -0.666220 0.596151
-0.871630 -0.121239 0.866887
-0.500514 -0.184293 1.186113
0.124786 -0.755021 1.568672
0.509772 -1.438430 1.657130
0.516590 -1.904977 1.410246
0.501742 -2.105283 1.121538
0.644172 -1.805067 0.936332
0.767995 -1.526887 0.907939
0.893284 -1.243272 1.023287
0.731780 -0.928383 1.090459
0.098777 -0.882582 0.835291
-0.221791 -0.655252 0.663194
-0.473842 -0.305471 0.372401
-0.729998 -0.222168 0.213596
-0.931474 -0.337478 0.264939
-1.024941 -0.387695 0.504758
-1.076102 -0.710405 0.794763
-1.087895 -0.902049 1.092272
-1.030473 -1.118786 1.407277
-0.948971 -1.734502 1.640190
-0.699696 -2.056425 1.796085
-0.403460 -2.355663 1.807422
-0.195478 -2.728179 1.420997
-0.027627 -2.803387 1.002920
0.202225 -2.693358 0.627762
0.224684 -2.404513 0.158506
0.080728 -2.303133 -0.139901
-0.205579 -2.065681 -0.157732
-0.406899 -1.798073 -0.108827
-0.294535 -1.568652 0.191559
-0.005429 -1.376562 0.668496
0.234750 -1.699257 1.169009
0.592244 -2.349631 1.865438
1.020515 -2.797402 2.238695
1.455731 -2.941872 2.418208
1.643340 -2.973170 2.334183
1.462836 -2.880759 2.045962
1.327751 -2.803959 1.904434
0.886975 -2.524679 1.430249
0.425612 -2.067177 0.910147
0.001451 -1.528202 0.449143
-0.471632 -1.048835 -0.020978
-0.738477 -0.792062 -0.261225
-0.747308 -0.769751 -0.203193
-0.573644 -1.027135 0.057309
-0.423048 -1.590943 0.463498
-0.248269 -2.086779 0.852481
-0.193141 -2.248345 0.935599
0.171333 -2.588835 1.258814
0.157245 -2.739920 1.383476
0.074538 -2.843265 1.414016
-0.091065 -2.759552 1.328273
-0.252964 -2.497897 1.186899
-0.386807 -2.175116 1.031449
-0.530497 -1.842080 0.785149
-0.575691 -1.611623 0.584308
-0.467710 -1.290673 0.465386
-0.390352 -1.226442 0.470676
-0.066788 -1.054048 0.557443
0.179059 -1.119170 0.703448
0.173295 -1.344184 0.792811
0.298585 -1.547976 0.945567
0.377447 -1.728432 1.031747
0.420049 -1.795759 1.083633
