x y z
-0.202045 -0.054350 0.164939
-0.202026 -0.054387 0.164930
-0.201996 -0.054423 0.164919
-0.201965 -0.054451 0.164911
-0.201930 -0.054481 0.164903
-0.201897 -0.054504 0.164899
-0.201868 -0.054520 0.164896
-0.201840 -0.054532 0.164894
-0.201817 -0.054538 0.164895
-0.201797 -0.054541 0.164897
-0.201787 -0.054548 0.164895
-0.201783 -0.054555 0.164892
-0.201777 -0.054562 0.164889
-0.201767 -0.054572 0.164885
-0.201754 -0.054581 0.164881
-0.201739 -0.054587 0.164879
-0.201717 -0.054594 0.164877
-0.201698 -0.054601 0.164875
-0.201695 -0.054601 0.164875
-0.201655 -0.054610 0.164872
-0.201630 -0.054615 0.164871
-0.201609 -0.054622 0.164869
-0.201592 -0.054626 0.164868
-0.201575 -0.054629 0.164866
-0.201560 -0.054631 0.164865
-0.201547 -0.054630 0.164866
-0.201537 -0.054629 0.164866
-0.201531 -0.054629 0.164865
-0.201525 -0.054626 0.164866
-0.201520 -0.054623 0.164867
-0.201516 -0.054620 0.164869
-0.201511 -0.054616 0.164868
-0.201507 -0.054612 0.164870
-0.201499 -0.054606 0.164871
-0.201486 -0.054600 0.164871
-0.201474 -0.054597 0.164873
-0.201465 -0.054594 0.164873
-0.201457 -0.054592 0.164874
-0.201453 -0.054591 0.164875
-0.201440 -0.054590 0.164875
-0.201439 -0.054590 0.164875
-0.201427 -0.054592 0.164875
-0.201422 -0.054592 0.164876
-0.201411 -0.054591 0.164877
-0.201400 -0.054591 0.164879
-0.201382 -0.054591 0.164880
-0.201372 -0.054589 0.164882
-0.201364 -0.054587 0.164884
-0.201362 -0.054590 0.164883
-0.201364 -0.054592 0.164883
-0.201367 -0.054596 0.164881
-0.201370 -0.054598 0.164880
-0.201371 -0.054599 0.164881
-0.201372 -0.054602 0.164880
-0.201367 -0.054600 0.164882
-0.201360 -0.054597 0.164883
-0.201355 -0.054595 0.164884
-0.201348 -0.054593 0.164885
-0.201341 -0.054586 0.164887
-0.201338 -0.054580 0.164891
-0.201333 -0.054574 0.164893
-0.201332 -0.054571 0.164894
-0.201332 -0.054568 0.164896
-0.201332 -0.054566 0.164898
-0.201332 -0.054561 0.164900
-0.201333 -0.054558 0.164901
-0.201332 -0.054556 0.164903
-0.201330 -0.054553 0.164904
-0.201326 -0.054551 0.164907
-0.201327 -0.054554 0.164908
-0.201328 -0.054554 0.164908
-0.201324 -0.054554 0.164908
-0.201322 -0.054555 0.164907
-0.201322 -0.054553 0.164908
-0.201320 -0.054551 0.164910
-0.201319 -0.054548 0.164911
-0.201318 -0.054541 0.164912
-0.201317 -0.054533 0.164915
-0.201318 -0.054523 0.164918
-0.201319 -0.054518 0.164920
-0.201321 -0.054513 0.164922
-0.201322 -0.054510 0.164923
-0.201324 -0.054505 0.164924
-0.201324 -0.054503 0.164925
-0.201323 -0.054500 0.164926
-0.201324 -0.054499 0.164927
-0.201323 -0.054497 0.164927
-0.201320 -0.054496 0.164927
-0.201316 -0.054496 0.164927
-0.201315 -0.054496 0.164927
-0.201315 -0.054497 0.164927
-0.201314 -0.054498 0.164925
-0.201314 -0.054498 0.164925
-0.201312 -0.054500 0.164923
-0.201311 -0.054500 0.164924
-0.201311 -0.054500 0.164924
-0.201310 -0.054500 0.164924
-0.201311 -0.054500 0.164924
-0.201311 -0.054501 0.164923
-0.201312 -0.054500 0.164923
-0.201314 -0.054498 0.164924
-0.201315 -0.054496 0.164925
-0.201315 -0.054493 0.164926
-0.201315 -0.054489 0.164927
-0.201315 -0.054489 0.164927
-0.201314 -0.054487 0.164928
-0.201315 -0.054486 0.164928
-0.201316 -0.054487 0.164929
-0.201320 -0.054488 0.164929
-0.201325 -0.054489 0.164929
-0.201326 -0.054491 0.164929
-0.201329 -0.054493 0.164928
-0.201329 -0.054493 0.164928
-0.201329 -0.054494 0.164928
-0.201328 -0.054495 0.164929
-0.201326 -0.054497 0.164929
-0.201326 -0.054499 0.164930
-0.201326 -0.054498 0.164930
-0.201325 -0.054498 0.164930
-0.201322 -0.054500 0.164930
-0.201321 -0.054500 0.164930
-0.201322 -0.054499 0.164930
-0.201322 -0.054499 0.164930
-0.201322 -0.054496 0.164931
-0.201322 -0.054492 0.164932
-0.201322 -0.054490 0.164933
-0.201322 -0.054489 0.164933
-0.201322 -0.054487 0.164934
-0.201322 -0.054484 0.164935
-0.201321 -0.054481 0.164937
-0.201321 -0.054481 0.164936
-0.201319 -0.054479 0.164937
-0.201321 -0.054481 0.164938
-0.201323 -0.054481 0.164938
-0.201328 -0.054482 0.164938
-0.201332 -0.054483 0.164939
-0.201335 -0.054485 0.164938
-0.201337 -0.054487 0.164939
-0.201339 -0.054487 0.164939
-0.201343 -0.054488 0.164938
-0.201347 -0.054489 0.164938
-0.201348 -0.054490 0.164939
-0.201348 -0.054490 0.164939
-0.201348 -0.054490 0.164939
-0.201343 -0.054488 0.164941
-0.201335 -0.054484 0.164944
-0.201331 -0.054482 0.164945
-0.201326 -0.054481 0.164947
-0.201323 -0.054481 0.164948
-0.201322 -0.054481 0.164948
-0.201322 -0.054479 0.164949
-0.201321 -0.054479 0.164949
-0.201321 -0.054478 0.164951
-0.201324 -0.054477 0.164951
-0.201327 -0.054475 0.164952
-0.201332 -0.054476 0.164951
-0.201340 -0.054478 0.164950
-0.201347 -0.054482 0.164948
-0.201348 -0.054482 0.164948
-0.201356 -0.054487 0.164946
-0.201353 -0.054489 0.164945
-0.201348 -0.054489 0.164945
-0.201341 -0.054490 0.164943
-0.201336 -0.054490 0.164943
-0.201330 -0.054487 0.164944
-0.201327 -0.054484 0.164946
-0.201324 -0.054479 0.164948
-0.201326 -0.054475 0.164948
-0.201326 -0.054474 0.164948
-0.201343 -0.054469 0.164950
-0.201351 -0.054466 0.164950
-0.201355 -0.054465 0.164951
-0.201366 -0.054462 0.164952
-0.201373 -0.054461 0.164952
-0.201374 -0.054461 0.164952
-0.201375 -0.054460 0.164952
-0.201372 -0.054462 0.164952
-0.201371 -0.054462 0.164952
-0.201369 -0.054463 0.164951
-0.201359 -0.054466 0.164950
-0.201356 -0.054466 0.164950
-0.201356 -0.054466 0.164950
-0.201357 -0.054466 0.164949
-0.201360 -0.054466 0.164949
-0.201365 -0.054466 0.164949
-0.201371 -0.054465 0.164949
-0.201381 -0.054468 0.164948
-0.201400 -0.054468 0.164948
-0.201403 -0.054467 0.164948
-0.201418 -0.054468 0.164948
-0.201425 -0.054466 0.164949
-0.201431 -0.054465 0.164949
-0.201430 -0.054464 0.164950
-0.201432 -0.054461 0.164950
-0.201431 -0.054460 0.164952
-0.201427 -0.054458 0.164952
-0.201423 -0.054455 0.164953
-0.201422 -0.054454 0.164953
-0.201420 -0.054453 0.164954
-0.201418 -0.054451 0.164955
-0.201412 -0.054444 0.164957
-0.201410 -0.054441 0.164959
-0.201412 -0.054438 0.164960
-0.201419 -0.054438 0.164961
-0.201425 -0.054437 0.164961
-0.201432 -0.054437 0.164961
-0.201433 -0.054439 0.164961
-0.201438 -0.054439 0.164961
-0.201442 -0.054441 0.164960
-0.201442 -0.054444 0.164958
-0.201442 -0.054445 0.164958
-0.201446 -0.054449 0.164956
-0.201448 -0.054451 0.164955
