Column1 Column2 Column3
0.024646 0.757731 1.794753
-0.022401 0.628526 1.582003
-0.024809 0.590853 1.496039
-0.035830 0.555465 1.489089
-0.096573 0.526888 1.529821
-0.069901 0.549796 1.432925
0.150435 0.526194 1.515162
0.181932 0.569353 2.010054
0.151733 0.623289 2.081642
-0.135388 0.676576 1.758889
-0.124932 0.543863 1.492818
-0.112348 0.504761 1.490918
-0.126485 0.464763 1.476348
-0.114309 0.488377 1.482031
-0.108306 0.397207 1.557505
0.026456 0.630051 1.826345
0.025803 0.592278 1.766754
-0.023767 0.513513 1.863721
-0.072874 0.496975 2.115821
-0.055714 0.453834 2.272682
0.004626 0.492383 2.322630
-0.025490 0.487171 2.306973
0.005165 0.528886 2.330928
0.525771 0.608130 2.448928
0.804563 0.593353 2.263671
0.865613 0.494942 2.094310
0.880009 0.450859 2.043021
0.867281 0.368403 1.889387
0.832134 0.365943 1.905455
0.658973 0.292551 1.665415
0.540218 0.290481 1.574279
0.373483 0.239577 1.478936
0.094042 0.122413 1.452565
-0.036951 0.060918 1.365695
-0.096754 0.027880 1.329992
-0.214563 -0.022196 1.382041
-0.235119 0.033685 1.414260
-0.258992 0.097392 1.420377
-0.397629 0.166574 1.523457
-0.481087 0.210493 1.575086
-0.605564 0.224998 1.653310
-0.754868 0.183660 1.727395
-0.923057 0.186503 1.876649
-1.063630 0.166410 1.992896
-1.136215 0.161067 2.096652
-1.146008 0.178646 2.181278
-1.079697 0.206719 2.184843
-0.966362 0.239925 2.164086
-0.782458 0.218192 2.225215
-0.673267 0.182586 2.231807
-0.574350 0.139542 2.245545
-0.485478 0.085269 2.226046
-0.328040 0.057998 2.213280
-0.197548 0.029214 2.166838
-0.031042 0.008719 2.131758
0.104832 -0.030531 2.110082
0.242621 -0.023745 2.118842
0.422801 -0.040321 2.139338
0.533262 -0.063146 2.121880
0.677361 -0.078354 2.055482
0.769649 -0.059185 2.016914
0.840872 -0.033557 2.004064
0.893528 -0.060646 1.947085
0.910992 -0.066287 1.919915
1.063629 -0.147362 1.759376
1.015483 -0.203498 1.631157
0.991403 -0.230369 1.545032
1.022494 -0.249436 1.511858
0.906532 -0.265567 1.362322
0.851156 -0.212919 1.338626
0.756062 -0.191140 1.340146
0.680255 -0.177363 1.366221
0.652546 -0.131102 1.396814
0.276765 0.026925 1.475916
0.205663 0.059620 1.467870
-0.173912 0.223044 1.577020
-0.344782 0.273526 1.592786
-0.430392 0.290205 1.610944
-0.683103 0.387611 1.702825
-0.874819 0.476374 1.779238
-1.192186 0.601967 1.880226
-1.223149 0.642843 1.983551
-1.391084 0.747501 2.173414
-1.482561 0.791596 2.301344
-1.454154 0.774377 2.349036
-1.273854 0.741190 2.423822
-0.958755 0.629897 2.430047
-0.608951 0.557509 2.444387
-0.244718 0.468718 2.447251
0.278292 0.385236 2.524495
0.386642 0.368730 2.594779
0.715358 0.283674 2.612665
1.018822 0.220468 2.613100
1.254039 0.182173 2.643579
1.539615 -0.004116 2.577082
1.763055 -0.100930 2.518616
1.957204 -0.251545 2.528046
