x y z
0.119372 -0.069784 0.138723
0.119307 -0.069777 0.138692
0.119227 -0.069752 0.138660
0.119174 -0.069733 0.138639
0.119142 -0.069722 0.138626
0.119082 -0.069702 0.138603
0.119031 -0.069684 0.138588
0.118993 -0.069672 0.138579
0.118940 -0.069653 0.138569
0.118885 -0.069637 0.138559
0.118824 -0.069617 0.138546
0.118777 -0.069599 0.138535
0.118693 -0.069562 0.138517
0.118583 -0.069511 0.138500
0.118531 -0.069493 0.138489
0.118430 -0.069473 0.138470
0.118359 -0.069462 0.138454
0.118286 -0.069449 0.138438
0.118230 -0.069436 0.138428
0.118162 -0.069415 0.138418
0.118079 -0.069388 0.138410
0.118005 -0.069367 0.138408
0.117931 -0.069348 0.138405
0.117849 -0.069331 0.138401
0.117769 -0.069319 0.138395
0.117712 -0.069311 0.138388
0.117617 -0.069298 0.138381
0.117504 -0.069278 0.138369
0.117441 -0.069264 0.138363
0.117342 -0.069249 0.138347
0.117266 -0.069236 0.138330
0.117177 -0.069220 0.138306
0.117059 -0.069189 0.138284
0.116953 -0.069159 0.138272
0.116849 -0.069131 0.138268
0.116784 -0.069119 0.138264
0.116641 -0.069093 0.138255
0.116546 -0.069074 0.138251
0.116426 -0.069051 0.138257
0.116331 -0.069027 0.138266
0.116214 -0.068993 0.138272
0.116125 -0.068967 0.138272
0.116028 -0.068938 0.138269
0.115942 -0.068918 0.138259
0.115825 -0.068884 0.138239
0.115730 -0.068854 0.138224
0.115610 -0.068806 0.138202
0.115508 -0.068762 0.138182
0.115415 -0.068719 0.138170
0.115323 -0.068681 0.138169
0.115204 -0.068626 0.138177
0.115094 -0.068569 0.138177
0.115011 -0.068524 0.138176
0.114885 -0.068453 0.138176
0.114760 -0.068391 0.138180
0.114670 -0.068355 0.138185
0.114574 -0.068318 0.138188
0.114422 -0.068240 0.138181
0.114214 -0.068137 0.138174
0.114063 -0.068067 0.138170
0.113856 -0.067957 0.138163
0.113690 -0.067856 0.138163
0.113582 -0.067793 0.138170
0.113449 -0.067729 0.138178
0.113336 -0.067681 0.138171
0.113230 -0.067635 0.138157
0.113073 -0.067549 0.138144
0.112905 -0.067439 0.138138
0.112785 -0.067365 0.138138
0.112680 -0.067312 0.138142
0.112582 -0.067276 0.138144
0.112475 -0.067236 0.138144
0.112351 -0.067177 0.138143
0.112160 -0.067077 0.138148
0.111995 -0.066992 0.138159
0.111910 -0.066947 0.138163
0.111791 -0.066883 0.138169
0.111637 -0.066799 0.138169
0.111515 -0.066734 0.138165
0.111390 -0.066667 0.138161
0.111259 -0.066593 0.138158
0.111104 -0.066504 0.138149
0.110950 -0.066418 0.138140
0.110839 -0.066359 0.138135
0.110710 -0.066295 0.138133
0.110541 -0.066223 0.138139
0.110365 -0.066161 0.138153
0.110248 -0.066129 0.138168
0.110088 -0.066088 0.138192
0.109944 -0.066050 0.138210
0.109775 -0.066002 0.138226
0.109630 -0.065959 0.138235
0.109452 -0.065906 0.138240
0.109314 -0.065867 0.138235
0.109154 -0.065826 0.138220
0.108998 -0.065794 0.138203
0.108884 -0.065777 0.138196
0.108734 -0.065762 0.138192
0.108577 -0.065749 0.138193
0.108430 -0.065737 0.138192
0.108276 -0.065727 0.138199
0.108162 -0.065720 0.138205
0.108019 -0.065713 0.138220
0.107801 -0.065707 0.138240
0.107628 -0.065706 0.138253
0.107442 -0.065706 0.138266
0.107226 -0.065703 0.138278
0.107013 -0.065704 0.138284
0.106906 -0.065705 0.138285
0.106719 -0.065705 0.138287
0.106550 -0.065705 0.138288
0.106362 -0.065705 0.138283
0.106198 -0.065706 0.138277
0.106005 -0.065705 0.138270
0.105839 -0.065705 0.138264
0.105652 -0.065705 0.138258
0.105488 -0.065707 0.138253
0.105297 -0.065716 0.138254
0.105127 -0.065727 0.138261
0.104934 -0.065736 0.138270
0.104765 -0.065747 0.138275
0.104567 -0.065759 0.138278
0.104369 -0.065767 0.138278
0.104195 -0.065775 0.138276
0.104019 -0.065778 0.138273
0.103823 -0.065785 0.138263
0.103656 -0.065795 0.138250
0.103459 -0.065805 0.138236
0.103280 -0.065814 0.138225
0.103068 -0.065818 0.138215
0.102886 -0.065817 0.138206
0.102632 -0.065816 0.138193
0.102452 -0.065815 0.138185
0.102306 -0.065815 0.138179
0.102075 -0.065814 0.138165
0.101823 -0.065816 0.138151
0.101652 -0.065821 0.138139
