x y z
0.587877 0.521208 1.267382
0.594207 0.491432 1.170032
0.592661 0.418918 1.121037
0.564637 0.396593 1.107296
0.606809 0.371192 1.089431
0.650430 0.356483 1.095927
0.689259 0.325499 1.098712
0.756704 0.427527 1.246454
0.803251 0.607293 1.518146
0.871696 0.687332 1.691096
0.919288 0.692941 1.714953
0.924794 0.733517 1.805606
0.862582 0.594144 1.716336
1.242959 0.888079 1.267607
1.232997 0.879047 1.237754
1.120507 0.770593 1.209749
0.986630 0.675740 1.228648
0.906006 0.588799 1.240566
0.840999 0.480794 1.222948
0.802188 0.413053 1.198387
0.848379 0.430457 1.177747
0.899080 0.387380 1.130139
0.977997 0.357257 1.073824
1.000451 0.356823 1.059335
1.001721 0.389499 1.047358
1.066554 0.383755 1.055397
1.140448 0.419704 1.084746
1.157888 0.473471 1.128096
1.123196 0.522623 1.153523
1.027889 0.514909 1.168964
0.941766 0.498259 1.159815
0.801535 0.490023 1.171045
0.661227 0.469813 1.194649
0.449956 0.487128 1.204308
0.283680 0.466502 1.190303
0.265496 0.421193 1.158482
0.342014 0.405552 1.176591
0.483814 0.401604 1.193157
0.632790 0.377366 1.221903
0.698240 0.384258 1.203328
0.751302 0.396958 1.195070
0.782754 0.450842 1.210668
0.789205 0.458842 1.202394
0.659852 0.495652 1.213525
0.467046 0.472552 1.165830
0.398987 0.441271 1.160344
0.477646 0.375435 1.192746
0.569693 0.311315 1.209104
0.581766 0.289000 1.230599
0.501040 0.308693 1.204984
0.346288 0.301791 1.160275
0.231386 0.299508 1.135534
0.147922 0.203592 1.053741
0.154363 0.098052 1.002911
0.209795 -0.000020 0.973294
0.312520 -0.048024 0.993107
0.435510 -0.044231 1.045915
0.526635 0.055657 1.098785
0.566006 0.124675 1.114644
0.577150 0.247332 1.156156
0.568155 0.325762 1.186545
0.455372 0.378793 1.221027
0.345525 0.384723 1.247084
0.315781 0.319617 1.257680
0.308285 0.227963 1.232976
0.359190 0.108999 1.190859
0.399142 0.073592 1.147831
0.454368 0.074423 1.116455
0.429546 0.126388 1.072545
0.394086 0.149388 1.034138
0.375177 0.130235 1.015946
0.307325 0.042021 1.006890
0.283843 -0.056743 0.990359
0.288159 -0.123990 1.006594
0.329590 -0.152918 1.038212
0.396614 -0.177775 1.054009
0.467761 -0.150777 1.084378
0.469040 -0.130356 1.080122
0.420327 -0.085814 1.077723
0.353140 -0.034429 1.077350
0.302186 -0.054113 1.035487
0.286718 -0.085298 1.023018
0.352027 -0.155934 0.997459
0.440108 -0.192826 0.953753
0.555954 -0.242789 0.962438
0.639999 -0.250611 0.921414
0.712606 -0.239735 0.895390
0.759829 -0.185910 0.893232
0.742197 -0.101642 0.892966
0.717991 -0.010268 0.957278
0.676479 0.020535 0.974348
0.650910 0.069367 1.006326
0.593587 0.042903 1.007471
0.538260 -0.012397 0.960391
0.456961 -0.072077 0.885053
0.433243 -0.192226 0.791259
0.400612 -0.296877 0.733112
0.285452 -0.360078 0.707675
0.176812 -0.396265 0.671705
0.130126 -0.424534 0.656420
0.080053 -0.445918 0.632851
0.112239 -0.497114 0.613515
0.193335 -0.559032 0.608796
0.282282 -0.631238 0.589231
0.360043 -0.718827 0.566062
0.382926 -0.729092 0.525893
0.441214 -0.733260 0.487687
0.407583 -0.723471 0.458394
0.338185 -0.689843 0.436877
0.323416 -0.717501 0.428056
0.377352 -0.758698 0.422664
0.473330 -0.780312 0.426166
0.522436 -0.807773 0.408110
0.545121 -0.803069 0.399138
0.617624 -0.862605 0.368528
0.687351 -0.876449 0.359420
0.747804 -0.886852 0.346709
0.760272 -0.924577 0.315473
0.729447 -0.943410 0.332381
0.649049 -0.975466 0.312054
0.496072 -0.972425 0.293131
0.305774 -0.982867 0.251023
0.212495 -1.012159 0.189590
0.150593 -1.059831 0.136935
0.112190 -1.071135 0.129276
0.156631 -1.079401 0.113627
0.157373 -1.059707 0.100577
0.113417 -1.056292 0.095019
0.023332 -1.058094 0.084497
-0.067392 -1.073160 0.065517
-0.155706 -1.123442 0.070122
-0.138203 -1.228042 0.032719
0.163067 -1.311512 0.032067
0.449600 -1.372304 0.028335
0.770689 -1.417189 0.018478
0.860426 -1.428411 -0.006069
0.768585 -1.388038 -0.082402
0.489406 -1.404580 -0.257747
0.312403 -1.433648 -0.319143
0.025536 -1.575634 -0.485215
-0.239999 -1.769663 -0.644035
-0.319423 -1.982344 -0.759454
-0.061177 -2.407800 -0.825501
0.303650 -2.610912 -0.814523
0.536974 -2.691477 -0.806464
0.718687 -2.778724 -0.844413
0.824435 -2.900693 -0.890535
0.854687 -3.041312 -0.977842
0.801126 -3.088092 -0.996760
0.530141 -3.139835 -1.067100
0.326670 -3.231791 -1.168574
0.079145 -3.404318 -1.282797
-0.049077 -3.528274 -1.322787
-0.089477 -3.580848 -1.371001
-0.036216 -3.552260 -1.444425
0.043120 -3.562797 -1.510461
0.084292 -3.586610 -1.549047
0.108852 -3.575314 -1.567419
0.153441 -3.581953 -1.657305
0.123176 -3.593037 -1.677922
0.166277 -3.763536 -1.751239
